"row","count.x","abv","ibu","id","beer","style","brewery_id","ounces","style2","count.y","brewery","city","state","label"
"1",1,0.05,NA,1436,"Pub Beer","American Pale Lager",408,12,NA,409,"10 Barrel Brewing Company","Bend","OR","Pub Beer (10 Barrel Brewing Company)"
"2",2,0.066,NA,2265,"Devil's Cup","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Devil's Cup (18th Street Brewery)"
"3",3,0.071,NA,2264,"Rise of the Phoenix","American IPA",177,12,"American IPA",178,"18th Street Brewery","Gary","IN","Rise of the Phoenix (18th Street Brewery)"
"4",4,0.09,NA,2263,"Sinister","American Double / Imperial IPA",177,12,"American Double / Imperial IPA",178,"18th Street Brewery","Gary","IN","Sinister (18th Street Brewery)"
"5",5,0.075,NA,2262,"Sex and Candy","American IPA",177,12,"American IPA",178,"18th Street Brewery","Gary","IN","Sex and Candy (18th Street Brewery)"
"6",6,0.077,NA,2261,"Black Exodus","Oatmeal Stout",177,12,NA,178,"18th Street Brewery","Gary","IN","Black Exodus (18th Street Brewery)"
"7",7,0.045,NA,2260,"Lake Street Express","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Lake Street Express (18th Street Brewery)"
"8",8,0.065,NA,2259,"Foreman","American Porter",177,12,NA,178,"18th Street Brewery","Gary","IN","Foreman (18th Street Brewery)"
"9",9,0.055,NA,2258,"Jade","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Jade (18th Street Brewery)"
"10",10,0.086,NA,2131,"Cone Crusher","American Double / Imperial IPA",177,12,"American Double / Imperial IPA",178,"18th Street Brewery","Gary","IN","Cone Crusher (18th Street Brewery)"
"11",11,0.072,NA,2099,"Sophomoric Saison","Saison / Farmhouse Ale",177,12,NA,178,"18th Street Brewery","Gary","IN","Sophomoric Saison (18th Street Brewery)"
"12",12,0.073,NA,2098,"Regional Ring Of Fire","Saison / Farmhouse Ale",177,12,NA,178,"18th Street Brewery","Gary","IN","Regional Ring Of Fire (18th Street Brewery)"
"13",13,0.069,NA,2097,"Garce SelÃ©","Saison / Farmhouse Ale",177,12,NA,178,"18th Street Brewery","Gary","IN","Garce SelÃ© (18th Street Brewery)"
"14",14,0.085,NA,1980,"Troll Destroyer","Belgian IPA",177,12,NA,178,"18th Street Brewery","Gary","IN","Troll Destroyer (18th Street Brewery)"
"15",15,0.061,60,1979,"Bitter Bitch","American Pale Ale (APA)",177,12,"American Pale Ale (APA)",178,"18th Street Brewery","Gary","IN","Bitter Bitch (18th Street Brewery)"
"16",16,0.06,NA,2318,"Ginja Ninja","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","Ginja Ninja (2 Towns Ciderhouse)"
"17",17,0.06,NA,2170,"Cherried Away","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","Cherried Away (2 Towns Ciderhouse)"
"18",18,0.06,NA,2169,"Rhubarbarian","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","Rhubarbarian (2 Towns Ciderhouse)"
"19",19,0.06,NA,1502,"BrightCider","Cider",154,12,NA,155,"2 Towns Ciderhouse","Corvallis","OR","BrightCider (2 Towns Ciderhouse)"
"20",20,0.0819999999999999,NA,1593,"He Said Baltic-Style Porter","Baltic Porter",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","He Said Baltic-Style Porter (21st Amendment Brewery)"
"21",21,0.0819999999999999,NA,1592,"He Said Belgian-Style Tripel","Tripel",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","He Said Belgian-Style Tripel (21st Amendment Brewery)"
"22",22,0.099,92,1036,"Lower De Boom","American Barleywine",368,8.4,NA,369,"21st Amendment Brewery","San Francisco","CA","Lower De Boom (21st Amendment Brewery)"
"23",23,0.079,45,1024,"Fireside Chat","Winter Warmer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Fireside Chat (21st Amendment Brewery)"
"24",24,0.079,NA,976,"Marooned On Hog Island","American Stout",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Marooned On Hog Island (21st Amendment Brewery)"
"25",25,0.044,42,876,"Bitter American","American Pale Ale (APA)",368,12,"American Pale Ale (APA)",369,"21st Amendment Brewery","San Francisco","CA","Bitter American (21st Amendment Brewery)"
"26",26,0.049,17,802,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Hell or High Watermelon Wheat (2009) (21st Amendment Brewery)"
"27",27,0.049,17,801,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Hell or High Watermelon Wheat (2009) (21st Amendment Brewery)"
"28",28,0.049,17,800,"21st Amendment Watermelon Wheat Beer (2006)","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","21st Amendment Watermelon Wheat Beer (2006) (21st Amendment Brewery)"
"29",29,0.07,70,799,"21st Amendment IPA (2006)","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","21st Amendment IPA (2006) (21st Amendment Brewery)"
"30",30,0.07,70,797,"Brew Free! or Die IPA (2008)","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","Brew Free! or Die IPA (2008) (21st Amendment Brewery)"
"31",31,0.07,70,796,"Brew Free! or Die IPA (2009)","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","Brew Free! or Die IPA (2009) (21st Amendment Brewery)"
"32",32,0.085,52,531,"Special Edition: Allies Win The War!","English Strong Ale",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Special Edition: Allies Win The War! (21st Amendment Brewery)"
"33",33,0.0969999999999999,94,432,"Hop Crisis","American Double / Imperial IPA",368,12,"American Double / Imperial IPA",369,"21st Amendment Brewery","San Francisco","CA","Hop Crisis (21st Amendment Brewery)"
"34",34,0.044,42,353,"Bitter American (2011)","American Pale Ale (APA)",368,12,"American Pale Ale (APA)",369,"21st Amendment Brewery","San Francisco","CA","Bitter American (2011) (21st Amendment Brewery)"
"35",35,0.079,45,321,"Fireside Chat (2010)","Winter Warmer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Fireside Chat (2010) (21st Amendment Brewery)"
"36",36,0.068,65,173,"Back in Black","American Black Ale",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Back in Black (21st Amendment Brewery)"
"37",37,0.083,35,11,"Monk's Blood","Belgian Dark Ale",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Monk's Blood (21st Amendment Brewery)"
"38",38,0.07,65,10,"Brew Free! or Die IPA","American IPA",368,12,"American IPA",369,"21st Amendment Brewery","San Francisco","CA","Brew Free! or Die IPA (21st Amendment Brewery)"
"39",39,0.049,17,9,"Hell or High Watermelon Wheat","Fruit / Vegetable Beer",368,12,NA,369,"21st Amendment Brewery","San Francisco","CA","Hell or High Watermelon Wheat (21st Amendment Brewery)"
"40",40,0.07,82,2519,"Bimini Twist","American IPA",67,12,"American IPA",68,"3 Daughters Brewing","St Petersburg","FL","Bimini Twist (3 Daughters Brewing)"
"41",41,0.05,NA,2518,"Beach Blonde","American Blonde Ale",67,12,"American Blonde Ale",68,"3 Daughters Brewing","St Petersburg","FL","Beach Blonde (3 Daughters Brewing)"
"42",42,0.059,NA,2517,"Rod Bender Red","American Amber / Red Ale",67,12,"American Amber / Red Ale",68,"3 Daughters Brewing","St Petersburg","FL","Rod Bender Red (3 Daughters Brewing)"
"43",43,0.035,11,2545,"Passion Fruit Prussia","Berliner Weissbier",60,12,NA,61,"4 Hands Brewing Company","Saint Louis","MO","Passion Fruit Prussia (4 Hands Brewing Company)"
"44",44,0.045,18,2544,"Send Help","American Blonde Ale",60,12,"American Blonde Ale",61,"4 Hands Brewing Company","Saint Louis","MO","Send Help (4 Hands Brewing Company)"
"45",45,0.055,NA,2324,"Cast Iron Oatmeal Brown","American Brown Ale",60,12,NA,61,"4 Hands Brewing Company","Saint Louis","MO","Cast Iron Oatmeal Brown (4 Hands Brewing Company)"
"46",46,0.06,NA,2288,"Reprise Centennial Red","American Amber / Red Ale",60,12,"American Amber / Red Ale",61,"4 Hands Brewing Company","Saint Louis","MO","Reprise Centennial Red (4 Hands Brewing Company)"
"47",47,0.055,NA,2287,"Alter Ego","American Black Ale",60,12,NA,61,"4 Hands Brewing Company","Saint Louis","MO","Alter Ego (4 Hands Brewing Company)"
"48",48,0.065,NA,2286,"Divided Sky","American IPA",60,12,"American IPA",61,"4 Hands Brewing Company","Saint Louis","MO","Divided Sky (4 Hands Brewing Company)"
"49",49,0.065,NA,2285,"Resurrected","American IPA",60,12,"American IPA",61,"4 Hands Brewing Company","Saint Louis","MO","Resurrected (4 Hands Brewing Company)"
"50",50,0.05,28,1870,"Contact High","American Pale Wheat Ale",60,12,"American Pale Wheat Ale",61,"4 Hands Brewing Company","Saint Louis","MO","Contact High (4 Hands Brewing Company)"
"51",51,0.065,NA,2603,"Galaxyfest","American IPA",27,16,"American IPA",28,"450 North Brewing Company","Columbus","IN","Galaxyfest (450 North Brewing Company)"
"52",52,0.05,45,2602,"Citrafest","American IPA",27,16,"American IPA",28,"450 North Brewing Company","Columbus","IN","Citrafest (450 North Brewing Company)"
"53",53,0.09,NA,2220,"Barn Yeti","Belgian Strong Dark Ale",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Barn Yeti (450 North Brewing Company)"
"54",54,0.069,65,2219,"Scarecrow","American IPA",27,16,"American IPA",28,"450 North Brewing Company","Columbus","IN","Scarecrow (450 North Brewing Company)"
"55",55,0.09,50,2218,"Ironman","English Strong Ale",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Ironman (450 North Brewing Company)"
"56",56,0.046,15,2217,"Honey Kolsch","KÃ¶lsch",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Honey Kolsch (450 North Brewing Company)"
"57",57,0.052,18,2216,"Copperhead Amber","Belgian Dark Ale",27,16,NA,28,"450 North Brewing Company","Columbus","IN","Copperhead Amber (450 North Brewing Company)"
"58",58,0.059,75,972,"Rude Parrot IPA","American IPA",481,16,"American IPA",482,"7 Seas Brewing Company","Gig Harbor","WA","Rude Parrot IPA (7 Seas Brewing Company)"
"59",59,0.054,30,866,"British Pale Ale (2010)","English Pale Ale",481,16,NA,482,"7 Seas Brewing Company","Gig Harbor","WA","British Pale Ale (2010) (7 Seas Brewing Company)"
"60",60,0.054,30,48,"British Pale Ale","English Pale Ale",481,16,NA,482,"7 Seas Brewing Company","Gig Harbor","WA","British Pale Ale (7 Seas Brewing Company)"
"61",61,0.084,82,47,"Ballz Deep Double IPA","American Double / Imperial IPA",481,16,"American Double / Imperial IPA",482,"7 Seas Brewing Company","Gig Harbor","WA","Ballz Deep Double IPA (7 Seas Brewing Company)"
"62",62,0.038,NA,1583,"Wolfman's Berliner","Berliner Weissbier",373,12,NA,374,"7venth Sun","Dunedin","FL","Wolfman's Berliner (7venth Sun)"
"63",63,0.055,26,1165,"Colorado Native","American Amber / Red Lager",462,12,NA,463,"AC Golden Brewing Company","Golden","CO","Colorado Native (AC Golden Brewing Company)"
"64",64,0.055,26,431,"Colorado Native (2011)","American Amber / Red Lager",462,12,NA,463,"AC Golden Brewing Company","Golden","CO","Colorado Native (2011) (AC Golden Brewing Company)"
"65",65,0.065,52,516,"Jockamo IPA","American IPA",533,12,"American IPA",534,"Abita Brewing Company","Abita Springs","LA","Jockamo IPA (Abita Brewing Company)"
"66",66,0.042,13,515,"Purple Haze","Fruit / Vegetable Beer",533,12,NA,534,"Abita Brewing Company","Abita Springs","LA","Purple Haze (Abita Brewing Company)"
"67",67,0.045,17,514,"Abita Amber","American Amber / Red Lager",533,12,NA,534,"Abita Brewing Company","Abita Springs","LA","Abita Amber (Abita Brewing Company)"
"68",68,0.0819999999999999,68,2540,"Citra Ass Down","American IPA",62,16,"American IPA",63,"Against The Grain Brewery","Louisville","KY","Citra Ass Down (Against The Grain Brewery)"
"69",69,0.05,20,2539,"The Brown Note","American Brown Ale",62,16,NA,63,"Against The Grain Brewery","Louisville","KY","The Brown Note (Against The Grain Brewery)"
"70",70,0.08,68,2686,"Citra Ass Down","American Double / Imperial IPA",1,16,"American Double / Imperial IPA",2,"Against the Grain Brewery","Louisville","KY","Citra Ass Down (Against the Grain Brewery)"
"71",71,0.125,80,2685,"London Balling","English Barleywine",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","London Balling (Against the Grain Brewery)"
"72",72,0.077,25,2684,"35 K","Milk / Sweet Stout",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","35 K (Against the Grain Brewery)"
"73",73,0.042,42,2683,"A Beer","American Pale Ale (APA)",1,16,"American Pale Ale (APA)",2,"Against the Grain Brewery","Louisville","KY","A Beer (Against the Grain Brewery)"
"74",74,0.05,25,2682,"Rules are Rules","German Pilsener",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Rules are Rules (Against the Grain Brewery)"
"75",75,0.066,21,2681,"Flesh Gourd'n","Pumpkin Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Flesh Gourd'n (Against the Grain Brewery)"
"76",76,0.04,13,2680,"Sho'nuff","Belgian Pale Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Sho'nuff (Against the Grain Brewery)"
"77",77,0.055,17,2679,"Bloody Show","American Pilsner",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Bloody Show (Against the Grain Brewery)"
"78",78,0.076,68,2678,"Rico Sauvin","American Double / Imperial IPA",1,16,"American Double / Imperial IPA",2,"Against the Grain Brewery","Louisville","KY","Rico Sauvin (Against the Grain Brewery)"
"79",79,0.051,38,2677,"Coq de la Marche","Saison / Farmhouse Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Coq de la Marche (Against the Grain Brewery)"
"80",80,0.065,NA,2676,"Kamen Knuddeln","American Wild Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","Kamen Knuddeln (Against the Grain Brewery)"
"81",81,0.06,65,2675,"Pile of Face","American IPA",1,16,"American IPA",2,"Against the Grain Brewery","Louisville","KY","Pile of Face (Against the Grain Brewery)"
"82",82,0.05,20,2674,"The Brown Note","English Brown Ale",1,16,NA,2,"Against the Grain Brewery","Louisville","KY","The Brown Note (Against the Grain Brewery)"
"83",83,0.053,35,1594,"Maylani's Coconut Stout","American Stout",367,16,NA,368,"Airways Brewing Company","Kent","WA","Maylani's Coconut Stout (Airways Brewing Company)"
"84",84,0.05,35,1162,"Oatmeal PSA","American Pale Ale (APA)",367,16,"American Pale Ale (APA)",368,"Airways Brewing Company","Kent","WA","Oatmeal PSA (Airways Brewing Company)"
"85",85,0.052,33,1137,"Pre Flight Pilsner","American Pilsner",367,16,NA,368,"Airways Brewing Company","Kent","WA","Pre Flight Pilsner (Airways Brewing Company)"
"86",86,0.04,20,2403,"P-Town Pilsner","American Pilsner",117,12,NA,118,"Alameda Brewing","Portland","OR","P-Town Pilsner (Alameda Brewing)"
"87",87,0.053,36,2402,"Klickitat Pale Ale","American Pale Ale (APA)",117,12,"American Pale Ale (APA)",118,"Alameda Brewing","Portland","OR","Klickitat Pale Ale (Alameda Brewing)"
"88",88,0.0819999999999999,103,2401,"Yellow Wolf Imperial IPA","American Double / Imperial IPA",117,12,"American Double / Imperial IPA",118,"Alameda Brewing","Portland","OR","Yellow Wolf Imperial IPA (Alameda Brewing)"
"89",89,0.053,40,1921,"Freeride APA","American Pale Ale (APA)",270,12,"American Pale Ale (APA)",271,"Alaskan Brewing Company","Juneau","AK","Freeride APA (Alaskan Brewing Company)"
"90",90,0.053,18,1920,"Alaskan Amber","Altbier",270,12,NA,271,"Alaskan Brewing Company","Juneau","AK","Alaskan Amber (Alaskan Brewing Company)"
"91",91,0.057,NA,2501,"Hopalicious","American Pale Ale (APA)",73,12,"American Pale Ale (APA)",74,"Ale Asylum","Madison","WI","Hopalicious (Ale Asylum)"
"92",92,0.043,NA,1535,"Kentucky KÃ¶lsch","KÃ¶lsch",388,16,NA,389,"Alltech's Lexington Brewing Company","Lexington","KY","Kentucky KÃ¶lsch (Alltech's Lexington Brewing Company)"
"93",93,0.065,NA,1149,"Kentucky IPA","American IPA",388,16,"American IPA",389,"Alltech's Lexington Brewing Company","Lexington","KY","Kentucky IPA (Alltech's Lexington Brewing Company)"
"94",94,0.054,NA,1474,"Dusty Trail Pale Ale","American Pale Ale (APA)",401,16,"American Pale Ale (APA)",402,"Amnesia Brewing Company","Washougal","WA","Dusty Trail Pale Ale (Amnesia Brewing Company)"
"95",95,0.062,NA,1473,"Damnesia","American IPA",401,16,"American IPA",402,"Amnesia Brewing Company","Washougal","WA","Damnesia (Amnesia Brewing Company)"
"96",96,0.062,43,837,"Desolation IPA","American IPA",401,16,"American IPA",402,"Amnesia Brewing Company","Washougal","WA","Desolation IPA (Amnesia Brewing Company)"
"97",97,0.059,NA,2592,"Liberty Ale","American IPA",35,12,"American IPA",36,"Anchor Brewing Company","San Francisco","CA","Liberty Ale (Anchor Brewing Company)"
"98",98,0.065,NA,2578,"IPA","American IPA",35,12,"American IPA",36,"Anchor Brewing Company","San Francisco","CA","IPA (Anchor Brewing Company)"
"99",99,0.045,NA,2577,"Summer Wheat","American Pale Wheat Ale",35,12,"American Pale Wheat Ale",36,"Anchor Brewing Company","San Francisco","CA","Summer Wheat (Anchor Brewing Company)"
"100",100,0.049,NA,2103,"California Lager","American Amber / Red Lager",35,12,NA,36,"Anchor Brewing Company","San Francisco","CA","California Lager (Anchor Brewing Company)"
"101",101,0.0559999999999999,NA,2102,"Brotherhood Steam","California Common / Steam Beer",35,12,NA,36,"Anchor Brewing Company","San Francisco","CA","Brotherhood Steam (Anchor Brewing Company)"
"102",102,0.042,NA,2291,"Blood Orange Gose","Gose",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Blood Orange Gose (Anderson Valley Brewing Company)"
"103",103,0.042,NA,1818,"Keebarlin' Pale Ale","American Pale Ale (APA)",171,12,"American Pale Ale (APA)",172,"Anderson Valley Brewing Company","Boonville","CA","Keebarlin' Pale Ale (Anderson Valley Brewing Company)"
"104",104,0.048,NA,1738,"the Kimmie, the Yink and the Holy Gose","Gose",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","the Kimmie, the Yink and the Holy Gose (Anderson Valley Brewing Company)"
"105",105,0.06,NA,1563,"Fall Hornin'","Pumpkin Ale",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Fall Hornin' (Anderson Valley Brewing Company)"
"106",106,0.057,13,1520,"Barney Flats Oatmeal Stout","Oatmeal Stout",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Barney Flats Oatmeal Stout (Anderson Valley Brewing Company)"
"107",107,0.0559999999999999,4,1350,"Summer Solstice","Cream Ale",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Summer Solstice (Anderson Valley Brewing Company)"
"108",108,0.07,80,1327,"Hop Ottin' IPA","American IPA",171,12,"American IPA",172,"Anderson Valley Brewing Company","Boonville","CA","Hop Ottin' IPA (Anderson Valley Brewing Company)"
"109",109,0.0579999999999999,15,1326,"Boont Amber Ale","American Amber / Red Ale",171,12,"American Amber / Red Ale",172,"Anderson Valley Brewing Company","Boonville","CA","Boont Amber Ale (Anderson Valley Brewing Company)"
"110",110,0.057,13,1221,"Barney Flats Oatmeal Stout","Oatmeal Stout",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Barney Flats Oatmeal Stout (Anderson Valley Brewing Company)"
"111",111,0.055,25,1217,"El Steinber Dark Lager","Vienna Lager",171,16,NA,172,"Anderson Valley Brewing Company","Boonville","CA","El Steinber Dark Lager (Anderson Valley Brewing Company)"
"112",112,0.0579999999999999,15,811,"Boont Amber Ale (2010)","American Amber / Red Ale",171,12,"American Amber / Red Ale",172,"Anderson Valley Brewing Company","Boonville","CA","Boont Amber Ale (2010) (Anderson Valley Brewing Company)"
"113",113,0.0559999999999999,4,753,"Summer Solstice Cerveza Crema (2009)","Cream Ale",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Summer Solstice Cerveza Crema (2009) (Anderson Valley Brewing Company)"
"114",114,0.057,13,572,"Barney Flats Oatmeal Stout (2012)","Oatmeal Stout",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Barney Flats Oatmeal Stout (2012) (Anderson Valley Brewing Company)"
"115",115,0.069,6,523,"Winter Solstice","Winter Warmer",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Winter Solstice (Anderson Valley Brewing Company)"
"116",116,0.07,80,367,"Hop Ottin' IPA (2011)","American IPA",171,12,"American IPA",172,"Anderson Valley Brewing Company","Boonville","CA","Hop Ottin' IPA (2011) (Anderson Valley Brewing Company)"
"117",117,0.0579999999999999,15,78,"Boont Amber Ale (2011)","American Amber / Red Ale",171,12,"American Amber / Red Ale",172,"Anderson Valley Brewing Company","Boonville","CA","Boont Amber Ale (2011) (Anderson Valley Brewing Company)"
"118",118,0.0559999999999999,4,77,"Summer Solstice (2011)","Cream Ale",171,12,NA,172,"Anderson Valley Brewing Company","Boonville","CA","Summer Solstice (2011) (Anderson Valley Brewing Company)"
"119",119,0.055,28,76,"Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)",171,12,"American Pale Ale (APA)",172,"Anderson Valley Brewing Company","Boonville","CA","Poleeko Gold Pale Ale (2009) (Anderson Valley Brewing Company)"
"120",120,0.06,NA,2337,"Charlie's Rye IPA","American IPA",146,16,"American IPA",147,"Angry Minnow","Hayward","WI","Charlie's Rye IPA (Angry Minnow)"
"121",121,0.054,NA,410,"River Pig Pale Ale","American Pale Ale (APA)",542,16,"American Pale Ale (APA)",543,"Angry Minnow Brewing Company","Hayward","WI","River Pig Pale Ale (Angry Minnow Brewing Company)"
"122",122,0.047,NA,409,"Oaky's Oatmeal Stout","Oatmeal Stout",542,16,NA,543,"Angry Minnow Brewing Company","Hayward","WI","Oaky's Oatmeal Stout (Angry Minnow Brewing Company)"
"123",123,0.05,NA,1294,"Angry Orchard Apple Ginger","Cider",434,16,NA,435,"Angry Orchard Cider Company","Cincinnati","OH","Angry Orchard Apple Ginger (Angry Orchard Cider Company)"
"124",124,0.05,NA,1293,"Angry Orchard Crisp Apple","Cider",434,16,NA,435,"Angry Orchard Cider Company","Cincinnati","OH","Angry Orchard Crisp Apple (Angry Orchard Cider Company)"
